childr;Книги для детей: прочее;Детская литература
children;Детская литература;Детская литература
childrens;Детская литература;Детская литература
foreign_children;Зарубежные детские книги;Детская литература
prose_game;Игры, упражнения для детей;Детская литература
military_special;Военное дело;Документальная литература
nonf_biography;Биографии и Мемуары;Документальная литература
nonf_biography_celebrities;Биографии и Мемуары;Документальная литература
nonf_biography_historical;Исторические Биографии и Мемуары;Документальная литература
nonf_biography_military_figures;Биографии и Мемуары;Документальная литература
nonf_biography_writers;Биографии и Мемуары;Документальная литература
nonf_military;Военная документалистика и аналитика;Документальная литература
nonf_publicism;Публицистика;Документальная литература
nonfiction;Документальная литература;Документальная литература
travel_notes;География, путевые заметки;Документальная литература
биографии и мемуары;Биографии и Мемуары;Документальная литература
adv_animal;Природа и животные;Дом и семья
auto_regulations;Автомобили и ПДД;Дом и семья
dom_semya;Дом и семья;Дом и семья
home;Хобби и ремесла;Дом и семья
home_collecting;Коллекционирование;Дом и семья
home_cooking;Кулинария;Дом и семья
home_crafts;Хобби и ремесла;Дом и семья
home_diy;Сделай Сам;Дом и семья
home_entertain;Развлечения;Дом и семья
home_garden;Сад и огород;Дом и семья
home_health;Здоровье;Дом и семья
home_pets;Домашние животные;Дом и семья
home_sex;Эротика, Секс;Дом и семья
home_sport;Спорт, фитнес;Дом и семья
religion_self;Самосовершенствование;Дом и семья
sci_pedagogy;Педагогика, воспитание детей, литература для родителей;Дом и семья
upbringing_book;Воспитание детей;Дом и семья
comedy;Комедия;Драматургия
dorama;Драма;Драматургия
drama;Драма;Драматургия
drama_antique;Античная драма;Драматургия
dramaturgy;Драматургия;Драматургия
screenplays;Сценарий;Драматургия
tragedy;Трагедия;Драматургия
utopia;Утопия;Драматургия
vaudeville;Мистерия, буффонада, водевиль;Драматургия
antique;Старинная литература: прочее;Зарубежная литература
foreign_action;Зарубежные боевики;Зарубежная литература
foreign_adventure;Зарубежные приключения;Зарубежная литература
foreign_antique;Средневековая классическая проза;Зарубежная литература
foreign_business;Зарубежная деловая литература;Зарубежная литература
foreign_contemporary;Современная зарубежная литература;Зарубежная литература
foreign_desc;Зарубежная справочная литература;Зарубежная литература
foreign_detective;Зарубежные детективы;Зарубежная литература
foreign_dramaturgy;Зарубежная драматургия;Зарубежная литература
foreign_edu;Зарубежная образовательная литература;Зарубежная литература
foreign_fantasy;Зарубежное фэнтези;Зарубежная литература
foreign_home;Зарубежная прикладная и научно-популярная литература;Зарубежная литература
foreign_love;Зарубежные любовные романы;Зарубежная литература
foreign_other;Зарубежное: Прочее;Зарубежная литература
foreign_poetry;Зарубежные стихи;Зарубежная литература
foreign_prose;Зарубежная классическая проза;Зарубежная литература
foreign_publicism;Зарубежная публицистика;Зарубежная литература
foreign_sf;Зарубежная фантастика;Зарубежная литература
zarubezhnaya_literatura;Зарубежная литература;Зарубежная литература
architecture_book;Скульптура и архитектура;Искусство, Искусствоведение, Дизайн
art_criticism;Искусствоведение;Искусство, Искусствоведение, Дизайн
art_world_culture;Мировая художественная культура;Искусство, Искусствоведение, Дизайн
cine;Кино;Искусство, Искусствоведение, Дизайн
design;Искусство и Дизайн;Искусство, Искусствоведение, Дизайн
music;Музыка, балет;Искусство, Искусствоведение, Дизайн
nonf_criticism;Критика;Искусство, Искусствоведение, Дизайн
notes;Партитуры;Искусство, Искусствоведение, Дизайн
painting;Живопись, альбомы, изобразительное искусство, фотография;Искусство, Искусствоведение, Дизайн
theatre;Театр;Искусство, Искусствоведение, Дизайн
antique_ant;Античная литература;Классика
antique_east;Древневосточная литература;Классика
antique_european;Европейская старинная литература;Классика
antique_myths;Мифы. Легенды. Эпос;Классика
antique_russian;Древнерусская литература;Классика
klassika;Классика;Классика
literature_18;Литература 18 века;Классика
literature_19;Литература 19 века;Классика
literature_20;Литература 20 века;Классика
prose_classic;Классическая проза;Классика
prose_rus_classic;Русская классическая проза;Классика
prose_su_classics;Советская классическая проза;Классика
family;Семейные отношения;Книги по психологии
knigi_po_psihologii;Книги по психологии;Книги по психологии
psy_alassic;Классики психологии;Книги по психологии
psy_childs;Детская психология;Книги по психологии
psy_personal;Личностный рост;Книги по психологии
psy_sex_and_family;Секс и семейная психология;Книги по психологии
psy_social;Социальная психология;Книги по психологии
psy_theraphy;Психотерапия и консультирование;Книги по психологии
sci_psychology;Психология и психотерапия;Книги по психологии
sci_psychology_popular;Психология;Книги по психологии
comp;Компьютеры: прочее;Компьютеры
comp_db;Базы данных;Компьютеры
comp_hard;Компьютерное Железо;Компьютеры
comp_osnet;ОС и Сети;Компьютеры
comp_programming;Программирование;Компьютеры
comp_soft;Программы;Компьютеры
comp_www;Интернет;Компьютеры
computers;Компьютеры: прочее;Компьютеры
foreign_comp;Зарубежная компьютерная литература;Компьютеры
kompyuternyie_igryi;Компьютерные игры;Компьютеры
kompyuteryi;Компьютеры;Компьютеры
tbg_computers;Учебные пособия, самоучители;Компьютеры
love;Любовные романы;Любовные романы
love_contemporary;Современные любовные романы;Любовные романы
love_detective;Остросюжетные любовные романы;Любовные романы
love_erotica;Эротическая литература;Любовные романы
love_hard;Порно;Любовные романы
love_history;Исторические любовные романы;Любовные романы
love_short;Короткие любовные романы;Любовные романы
about_musicians;О музыкантах и композиторах;Музыкальное искусство
foreign_psychology;Зарубежная психология;Наука, Образование
military_history;Военная история;Наука, Образование
nauka_obrazovanie;Наука, Образование;Наука, Образование
pedagogy_book;Педагогика;Наука, Образование
psy_generic;Общая психология;Наука, Образование
sci_biology;Биология, биофизика, биохимия;Наука, Образование
sci_botany;Ботаника;Наука, Образование
sci_chem;Химия;Наука, Образование
sci_cosmos;Астрономия и Космос;Наука, Образование
sci_culture;Культурология;Наука, Образование
sci_ecology;Экология;Наука, Образование
sci_economy;Экономика;Наука, Образование
sci_geo;Геология и география;Наука, Образование
sci_history;История;Наука, Образование
sci_juris;Юриспруденция;Наука, Образование
sci_linguistic;Языкознание, иностранные языки;Наука, Образование
sci_math;Математика;Наука, Образование
sci_medicine;Медицина;Наука, Образование
sci_medicine_alternative;Альтернативная медицина;Наука, Образование
sci_oriental;Востоковедение;Наука, Образование
sci_philology;Литературоведение;Наука, Образование
sci_philosophy;Философия;Наука, Образование
sci_phys;Физика;Наука, Образование
sci_politics;Политика, политология;Наука, Образование
sci_popular;Зарубежная образовательная, прикладная, научно-популярная литература;Наука, Образование
sci_social_studies;Обществознание, социология;Наука, Образование
sci_state;Государство и право;Наука, Образование
sci_tech;Техническая литература;Наука, Образование
sci_theories;Альтернативные науки и научные теории;Наука, Образование
sci_veterinary;Ветеринария;Наука, Образование
sci_zoo;Зоология;Наука, Образование
science;Прочая образовательная литература;Наука, Образование
humor_verse;Юмористические стихи, басни;Поэзия
lyrics;Лирика;Поэзия
narrative;Повести;Поэзия
palindromes;Визуальная и экспериментальная поэзия, верлибры, палиндромы;Поэзия
poem;Поэма, эпическая поэзия;Поэзия
poetry;Поэзия;Поэзия
poetry_classical;Классическая поэзия;Поэзия
poetry_east;Поэзия Востока;Поэзия
poetry_for_classical;Классическая зарубежная поэзия;Поэзия
poetry_for_modern;Современная зарубежная поэзия;Поэзия
poetry_modern;Современная поэзия;Поэзия
poetry_rus_classical;Классическая русская поэзия;Поэзия
poetry_rus_modern;Современная русская поэзия;Поэзия
sketch;Очерки;Поэзия
song_poetry;Песенная поэзия;Поэзия
adv_geo;Книги о Путешествиях;Приключения
adv_history;Исторические приключения;Приключения
adv_indian;Вестерн, про индейцев;Приключения
adv_maritime;Морские приключения;Приключения
adv_modern;Приключения в современном мире;Приключения
adv_story;Авантюрный роман;Приключения
adv_western;Вестерны;Приключения
adventur;Приключения: прочее;Приключения
adventure;Приключения;Приключения
adventures;Приключения;Приключения
tale_chivalry;Рыцарский роман;Приключения
aphorisms;Афоризмы, цитаты;Проза
epistolary_fiction;Эпистолярная проза;Проза
essays;Эссе;Проза
gothic_novel;Готический роман;Проза
great_story;Роман, повесть;Проза
